recipient,amount,ccode
Afghanistan,438802551.059116,AFG
Albania,110166074.99337682,ALB
Algeria,212506868.2607248,DZA
Angola,52732338554.4016,AGO
Antigua and Barbuda,369940056.6147653,ATG
Argentina,8755779896.648878,ARG
Armenia,90324933.65196392,ARM
Azerbaijan,580756483.4975568,AZE
Bahamas,3129756845.75275,BHS
Bangladesh,9823816987.383411,BGD
Barbados,211774765.92215285,BRB
Belarus,8253167755.881862,BLR
Benin,1135892944.6438038,BEN
Bolivia,2103149414.0405056,BOL
Bosnia and Herzegovina,1535859734.1308837,BIH
Botswana,1311003650.4116611,BWA
Brazil,41450785420.69629,BRA
Brunei,1770880321.4632452,BRN
Bulgaria,687806463.6609793,BGR
Burundi,410323646.2676971,BDI
Cabo Verde,372044171.0063656,CPV
Cambodia,10036325794.261126,KHM
Cameroon,5797362705.563379,CMR
Central African Republic,331056250.9242632,CAF
Chad,971279425.7783556,TCD
Chile,1489276217.8378325,CHL
Colombia,421537609.4823391,COL
Comoros,153862069.72939608,COM
Congo,6614393728.656144,COG
Cook Islands,82648482.42828676,COK
Costa Rica,1051227185.6670576,CRI
"Cote d""Ivoire",2941069946.6754894,CIV
Cuba,6713681249.584713,CUB
Curacao,0.0,NLD
DR Congo,7862738821.159343,
Djibouti,1773825128.789889,DJI
Dominica,235737846.1789464,DMA
Dominican Republic,0.0,DOM
Ecuador,16946029258.827478,ECU
Egypt,4933818450.867326,EGY
El Salvador,19663044.2423411,SLV
Equatorial Guinea,5411842059.861829,GNQ
Eritrea,1003266469.7722394,ERI
Ethiopia,15951236657.01227,ETH
Fiji,519286660.6646198,FJI
French Polynesia,0.0,PYF
Gabon,2336573506.4819765,GAB
Gambia,169333815.70763057,GMB
Georgia,423456727.2694951,GEO
Ghana,5048074000.24103,GHA
Grenada,374757120.3391781,GRD
Guam,0.0,GUM
Guinea,1008593275.0697958,GIN
Guinea-Bissau,225270803.4275393,GNB
Guyana,587189161.732403,GUY
Haiti,20273430.87661484,HTI
Honduras,297077897.3247376,HND
India,7170648430.828852,IND
Indonesia,34907975334.58436,IDN
Iran,17092795198.876043,IRN
Iraq,8151809954.190191,IRQ
Israel,2654539877.479382,ISR
Jamaica,2210461700.60232,JAM
Jordan,1856745070.8331783,JOR
Kazakhstan,42323531109.50128,KAZ
Kenya,10043394320.318075,KEN
Kyrgyzstan,3032801292.898482,KGZ
Laos,14508522605.258478,LAO
Lebanon,133859398.41280688,LBN
Lesotho,183689064.15498915,LSO
Liberia,837230863.7464077,LBR
Libya,394418703.0086879,LBY
Madagascar,480682369.0032767,MDG
Malawi,817459175.824844,MWI
Malaysia,10061760364.217072,MYS
Maldives,1697916868.3843532,MDV
Mali,1401631445.0267494,MLI
Marshall Islands,3207945516.5087986,MHL
Mauritania,1025643225.1685624,MRT
Mauritius,936132203.9168948,MUS
Mexico,2070042489.9811203,MEX
Micronesia,106759817.14634916,FSM
Moldova,69004563.96591099,MDA
Mongolia,2467127493.09668,MNG
Montenegro,1023955967.6942476,MNE
Morocco,897888045.9287293,MAR
Mozambique,5063743237.230192,MOZ
Myanmar,9725464293.09491,MMR
Namibia,1892560627.8788693,NAM
Nauru,3953921.70811948,NRU
Nepal,1205417533.279624,NPL
Nicaragua,4858309.35109894,NIC
Niger,1847148980.1303737,NER
Nigeria,7472484870.3446,NGA
Niue,20975114.04365459,NIU
North Korea,7199426226.563598,PRK
North Macedonia,999748308.1255972,MKD
Oman,5408010964.314898,OMN
Pakistan,34646832157.78759,PAK
Panama,82888902.50855014,PAN
Papua New Guinea,6097960058.443018,PNG
Paraguay,63904893.78760864,PRY
Peru,10682189805.31886,PER
Philippines,2225188762.7342534,PHL
Romania,474748448.5362075,ROU
Russia,125375455552.25098,RUS
Rwanda,626955596.5940803,RWA
Saint Lucia,48354826.15489096,LCA
Samoa,406088099.924612,WSM
Sao Tome and Principe,30300000.0,STP
Senegal,2742023719.3617835,SEN
Serbia,3112255592.183393,SRB
Seychelles,125676935.35819888,SYC
Sierra Leone,2400790909.877438,SLE
Sint Maarten (Dutch part),105275.0,SXM
Somalia,43322834.09118935,SOM
South Africa,10730745477.138245,ZAF
South Sudan,2256973020.7160707,SSD
Sri Lanka,12217324233.148487,LKA
Sudan,13330781304.18504,SDN
Suriname,991651102.9266888,SUR
Syria,219438736.19624445,SYR
Tajikistan,3323241959.364179,TJK
Tanzania,3411878418.127248,TZA
Thailand,428988850.7384762,THA
Timor-Leste,93079363.30858958,TLS
Togo,1297072892.9579036,TGO
Tonga,326434245.8441792,TON
Trinidad and Tobago,469714179.1504215,TTO
Tunisia,300358875.5510843,TUN
Turkey,6814086998.94957,
Turkmenistan,8956717108.76438,TKM
Uganda,3666344694.842726,UGA
Ukraine,1775585041.3622005,UKR
Uruguay,249678610.07078525,URY
Uzbekistan,7784387651.110273,UZB
Vanuatu,363110470.9741725,VUT
Venezuela,91078599271.18864,VEN
Vietnam,18465071721.560814,VNM
West Bank and Gaza Strip,59969704.67380903,
Yemen,653463998.3808007,YEM
Zambia,8627588703.739174,ZMB
Zimbabwe,4374166454.07287,ZWE
