ccode,president
ABW,0
AFG,0
AGO,0
ALB,0
ARE,1
ARG,4
ARM,0
ATG,0
AUS,4
AUT,2
AZE,0
BDI,0
BEL,1
BEN,0
BFA,0
BGD,1
BGR,0
BHR,0
BHS,0
BIH,0
BLR,2
BLZ,0
BMU,0
BOL,0
BRA,4
BRB,0
BRN,3
BTN,0
BWA,0
CAF,0
CAN,2
CHE,2
CHL,3
CIV,0
CMR,1
COD,0
COG,1
COL,0
COM,0
CPV,0
CRI,2
CUB,4
CYP,0
CZE,1
DEU,4
DJI,0
DMA,0
DNK,1
DOM,0
DZA,2
ECU,1
EGY,2
ERI,0
ESP,2
EST,1
ETH,0
FIN,1
FJI,1
FRA,5
FRO,0
FSM,0
GAB,1
GBR,3
GEO,0
GHA,0
GIN,0
GMB,0
GNB,0
GNQ,0
GRC,3
GRD,0
GRL,0
GTM,0
GUY,0
HKG,0
HND,0
HRV,1
HTI,0
HUN,1
IDN,2
IND,2
IRL,0
IRN,2
IRQ,0
ISL,1
ISR,1
ITA,3
JAM,0
JOR,0
JPN,2
KAZ,10
KEN,1
KGZ,3
KHM,3
KIR,0
KNA,0
KOR,3
KWT,0
LAO,3
LBN,0
LBR,1
LBY,1
LCA,0
LKA,1
LSO,0
LTU,1
LUX,0
LVA,1
MAC,0
MAR,2
MCO,1
MDA,1
MDG,0
MDV,1
MEX,2
MHL,0
MKD,0
MLI,1
MLT,1
MMR,2
MNE,0
MNG,3
MOZ,1
MRT,0
MUS,2
MWI,0
MYS,2
NAM,1
NCL,0
NER,0
NGA,2
NIC,0
NLD,1
NOR,0
NPL,1
NRU,0
NZL,3
OMN,0
PAK,2
PAN,1
PER,2
PHL,2
PLW,0
PNG,1
POL,2
PRK,3
PRT,3
PRY,0
PYF,0
QAT,0
ROU,1
RUS,11
RWA,1
SAU,4
SDN,1
SEN,2
SGP,2
SLB,0
SLE,0
SLV,0
SMR,0
SOM,0
SRB,1
SSD,0
STP,0
SUR,0
SVK,1
SVN,0
SWE,1
SWZ,0
SYC,1
SYR,0
TCD,0
TGO,0
THA,2
TJK,4
TKM,4
TLS,0
TON,0
TTO,1
TUN,1
TUR,1
TUV,0
TZA,2
UGA,0
UKR,2
URY,1
USA,4
UZB,4
VCT,0
VEN,2
VNM,5
VUT,0
WSM,0
YEM,0
ZAF,5
ZMB,1
ZWE,1
